HYBAS_ID,FID,non_cropla,irr_cropla,no_irr_cro,ACOF,BEAN,CNUT,COWP,MAIZ,OILP,ORTS,PMIL,RCOF,SESA,SOYB,SUNF,TEMF,VEGE,BANA,CASS,COCO,GROU,OCER,OOIL,PIGE,POTA,REST,SMIL,SUGB,SWPO,TOBA,WHEA,BARL,CHIC,COTT,LENT,OFIB,OPUL,PLNT,RAPESEED,RICE,SORG,SUGC,TEAS,TROF,YAMS,totMapspam,waterUse_nonIrr,waterUse_irr,growDaysAvg,SUB_AREA,UP_AREA,pre_mm_syr,pre_mm_uyr,pet_mm_syr,pet_mm_uyr,ari_ix_sav,ari_ix_uav,swc_pc_syr,swc_pc_uyr,crp_pc_sse,crp_pc_use,ire_pc_sse,ire_pc_use,X,Y,Location,currentPrecip_avg,currentPrecip_var,trendLow_Precip_avg,trendMed_Precip_avg,trendHigh_Precip_avg,trendLow_Precip_var,trendMed_Precip_var,trendHigh_Precip_var,currentPET_avg,currentPET_var,trendLow_PET_avg,trendMed_PET_avg,trendHigh_PET_avg,currentStreamflow_avg,currentStreamflow_var,trendLow_Streamflow_avg,trendMed_Streamflow_avg,trendHigh_Streamflow_avg,currentAridityIndex_A,currentDeficit_A,currentRatio_A,trendLow_Deficit_A,trendMed_Deficit_A,trendHigh_Deficit_A,currentAridityIndex_B,currentDeficit_B,currentRatio_B,trendLow_Deficit_B,trendMed_Deficit_B,trendHigh_Deficit_B,currentDeficit_C,currentRatio_C,trendLow_Deficit_C,trendMed_Deficit_C,trendHigh_Deficit_C,currentDeficit_D,currentRatio_D,trendLow_Deficit_D,trendMed_Deficit_D,trendHigh_Deficit_D,recentHistoricSlope,rescaledRecentHistoricSlope,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,initialSoilMoisture,thisWplant,runoffRatio,rechScalar,effectiveIrrigationRatio
7120329240,454143,1,0,0,0,0.105533677731135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23946040849689,0,0,0.253996311862311,1e-04,0,0,0,0,0.595639258322885,3.71156590192258,0,0,0,0.00715482602225,0,0,0.393515409500921,0,0,0,0,0.012520945572255,0,7.31948673943123,550.450123614183,550.450123614183,127.709107579419,233.4,233.4,1023,1023,665,665,154,154,92,92,7,7,0,0,-68.2473670127373,48.1900950267869,1,1023,238.889920264621,,8.32887314099953,16.4164781175564,,,,665,649.133352118103,2.80381684321341,16.6957130840217,26.8551988256824,1.53555622545718,0.7387281843811,,,0.0161160966698227,1.53850098289585,-6.44915923957391,0.982922798703766,,2.42823008466826,4.70101085276418,1.29582719056515,-70.0182419291112,0.814593566787036,,2.25221940762495,4.36025726923545,13451.4784218434,36.6191553361214,168.109096748852,432.199001362724,659.732723826269,13365.0684485658,36.3903440364084,168.298194572183,432.25951831245,659.509646057433,11.380733301269,910.45866410152,0,0.00996870328125,0.0060025,118.172925,544.891127815803,0.0903682,1.047375,0.8499840359375
7120320700,454150,0.94452608376194,0,0.05547391623806,0,0.460831673678398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.566303067561,0,0,1.81627886532744,1e-04,0,0,0,0,2.55355669419656,15.3698141436298,0,0,0,0.037662485789229,0,0,1.71606487065842,0,0,0,0,0.026900935846886,0,32.5475127366877,550.627041655702,550.627041655702,127.069188557837,153.9,468.3,1000,1024,661,668,151,154,92,92,9,6,0,0,-68.0658052391846,48.3596134274168,2,1000,232.705663692983,,8.86948846241751,16.121916854924,,7.70149777466023,,661,641.411917085573,2.9752367041074,16.8520025898112,26.6454868741536,1.61782894458164,0.75537649302384,,,0.01686814916779,1.5130105047155,-160.062987370795,0.497348891380176,,0.607377470897305,1.15450442694742,1.27568717435013,-210.924495570077,0.337626810077134,,0.56388544752384,1.07183469366379,10715.7949958022,34.6511664742647,132.232783300601,341.029103307562,527.683762539542,10418.8423199428,33.7186361361761,134.496568173331,343.636636457873,531.220886035158,8.87833271401778,710.266617121422,0.000579978178616121,0.0114672488463445,0.0060025,128.629634359052,459.459893103865,0.0777458271545181,2.40060268560686,0.886839954513946
7120979540,454156,1,0,0,0,0.0143096520445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352375166369833,0,0,0.060816019789801,1e-04,0,0,0,0,0.067970845145706,0.409613769217073,0,0,0,0,0,0,0.048295072751587,0,0,0,0,0,0,0.9534805253185,549.633116916389,549.633116916389,126.159951435909,146.5,314.5,1031,1036,666,671,155,155,93,93,7,5,0,0,-68.0670428809467,48.2035887444839,3,1031,240.919659547317,,8.41382015837667,16.2092285201924,,,,666,650.724041595501,,16.8839849923234,27.0055692466092,1.56054275284895,0.727362653610916,,,,1.54819868898481,-2.03976461879752,0.994590729086132,,2.43952567812703,4.7433024037371,1.30448512105939,-65.9387157791363,0.825136501498804,,2.26396085878398,4.40194218069535,13437.4449587295,36.6348862521248,179.816310773496,422.769335484547,651.017507445607,13351.0746479105,36.4058400152063,180.318133659789,423.187321581508,650.843787999883,9.50163405169453,760.130724135563,0,0.00996870328125,0.0060025,118.172925,544.08237206865,0.0903682,1.047375,0.8499840359375
7120034820,454162,0.892831105710814,0,0.107168894289186,0,0.646188355619825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0930954496933,0,0,2.65659213533137,1e-04,0,0,0,0,3.60427034917798,21.5878477364942,0,0,0,0.063005507611847,0,0,2.40869044879806,0,0,0,0,0.041414444319062,0,47.1012044270457,550.452567559519,550.452567559519,126.904715827791,232.2,232.2,980,980,661,661,148,148,91,91,12,12,0,0,-67.8697615275616,48.6039086356279,4,980,231.170062062678,,9.43584265589938,16.2085315438352,,,,661,634.076105480474,3.29047324273003,17.211906522228,27.1610463910242,2.77054857963049,1.04327185202473,,,0.0383588819607483,1.48276487217446,-142.873990214603,0.551185856103011,,0.886933661597067,1.64155575332176,1.24766222710651,-194.550760195499,0.388852143413249,,0.823207902073261,1.52361075730848,2167.69811680217,7.80945197273729,21.6602284875214,44.5721522839331,81.4630831572472,1764.8389837303,6.5439390781289,26.0910179826916,53.2892770211,82.6385029763806,8.28933487972197,663.146790377758,0.00104895577186731,0.0531056990652306,0.001,132.587469262407,450.218973825139,0.0654325550077785,2.65329770514442,0.893524677789177
7120034840,454164,0.882178949963027,0,0.117821050036973,0,0.457879682582897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6713580266306,0,0,1.88371211691354,1e-04,0,0,0,0,2.65553046536205,15.9349837332508,0,0,0,0.04326847524637,0,0,1.76131146592791,0,0,0,0,0.043292382605112,0,39.4514363485193,549.051980525799,549.051980525799,126.173740244973,234.1,234.1,980,980,666,666,147,147,91,91,8,8,0,0,-67.7133291015515,48.6638193362766,5,980,234.381942007568,,8.92459034256217,16.1162587796687,,,,666,639.031221556019,3.32087786749455,17.3787520478753,27.5349920470858,2.46974166506905,0.946733999811071,,,0.0301470111398521,1.47163399467315,-146.851347267954,0.537514910753412,,0.841875602249246,1.57982382427486,1.23534688275922,-197.904156686158,0.376732163033811,,0.780703990970977,1.46503207997377,1878.61896293792,6.91641326347076,17.4664530340593,37.4306670026657,64.9750495856333,1501.84119883538,5.72981129420767,22.3332469029912,43.4274413921719,69.6474232557443,8.10381547610623,648.305238088499,0.00104895577186731,0.0632377087190304,0.001,132.587469262407,449.073423973551,0.0654325550077785,2.65329770514442,0.893524677789177
7120034860,454166,0.845721694036301,0,0.154278305963699,0,0.254606585217147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91528933915084,0,0,1.1502382654323,1e-04,0,0,0,0,1.48979352567289,9.05973151614204,0,0,0,0.012639256835912,0,0,1.02026571104477,0,0,0,0,0.021671587870286,0,20.9243357873662,550.114386486484,550.114386486484,126.556045452472,130.9,1679.6,983,1048,667,641,148,164,92,94,13,5,0,0,-67.5436852028144,48.7405810795441,6,983,241.619457809547,4.20437888029913,9.51418826210909,15.940314086469,,,,667,641.916510109384,3.25138773379933,17.4002050336335,27.5782231850027,2.05536365300926,0.814426217177991,,,0.0186279240125335,1.4739274203382,-148.39876812726,0.533544137448181,,0.801188705478163,1.46367994388334,1.22947190430291,-199.365621849459,0.373342081767007,,0.741403854328676,1.35445987253536,1388.31562062555,5.36383649598572,12.7234437591258,26.513200749323,43.8164942476817,1055.24744445925,4.3169167313352,16.3530240651712,28.8396831821468,48.3439139993948,7.69364249793363,615.49139983469,0.00104895577186731,0.0979147522909271,0.001,132.587469262407,449.94237317934,0.0654325550077785,2.65329770514442,0.893524677789177
7120975820,454175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,852.84375,852.84375,184.3666667,225.7,225.8,1074,1074,626,626,172,172,95,95,6,6,0,0,-66.8632719057668,48.6376767489304,7,1074,263.780762121791,4.6312641757514,8.95520169832889,16.8630848209243,,5.01369210751574,,626,614.557234208116,,16.4209390492711,26.4853655005314,1.87035466446945,0.714569294338356,,,,1.71583136302051,-108.627646356815,0.816203319256624,,3.10663256111582,6.90426163129193,1.42890598049292,-183.919773111745,0.688809939690892,,2.88259841977123,6.40636228344338,8189.84607748534,14.8571217855217,96.9260017754868,223.502220010783,438.079236116501,8103.04512340305,14.7102556075206,97.1123964748722,223.336016775419,437.558786326361,7.84015352145131,627.212281716105,5e-05,0.007475,0.001,120.6,844.3153125,0.0792,1.05,0.852125
7120979640,454238,0.90014164305949,0,0.09985835694051,0,0.300856703191177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42277245957609,0,0,1.12478516830018,1e-04,0,0,0,0,1.42009433428807,8.71566092420903,0,0,0,0.023279516069719,0,0,1.0225392460145,0,0,0,0,0.030434342358943,0,20.0605226940077,550.482523233964,550.482523233964,126.579312626633,160,2145.8,1036,1042,704,674,147,155,92,93,10,8,0,0,-67.2817070704043,48.3209998596894,8,1036,249.841107989822,4.98007834031262,7.50780422365924,15.7521343754611,,,,704,690.088279506551,,18.708384882374,29.577878787828,1.93804168098587,0.770732450442443,,,,1.47176252637695,-151.560769594059,0.52392373617808,,0.642941911041338,1.23435585537036,1.22824438820991,-201.176609048683,0.368072564814858,,0.595596190868993,1.14345889264662,2061.25768865935,7.47473526176668,23.2101274505314,40.7498862289287,75.4049832827775,1756.37251008422,6.51704286485227,27.7574227677169,41.5499657439608,72.2819181666063,9.14905463356872,731.924370685498,0.00104895577186731,0.0461521361672568,0.001,132.587469262407,450.243474779088,0.0654325550077785,2.65329770514442,0.893524677789177
7120323070,454242,0.895535327264846,0,0.104464672735154,0,0.358564517267376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72035399880077,0,0,1.52751994042375,1e-04,0,0,0,0,1.67630178509771,10.1653645076478,0,0,0,0.025097546907101,0,0,1.20657970407489,0,0,0,0,0.026892118546089,0,23.7067741187655,550.608223179437,550.608223179437,126.436367454291,134.5,1277.5,1037,1024,694,678,150,151,92,92,10,11,0,0,-67.2937587564674,48.4180646666631,9,1037,250.794369004726,4.92931977682323,7.58151413018754,15.7740598695759,,,,694,678.698896008856,,18.418263336098,29.1783845976573,1.91803533757411,0.767989863035031,,,,1.49440411011271,-152.327178596242,0.521625559136995,,0.621671708783126,1.23009179684545,1.24845695776737,-202.637121081488,0.363630178220622,,0.57618747780927,1.14009288163621,1952.64893324861,7.13217779159726,21.0936165681564,38.4353440014033,69.8661101826915,1646.34938510302,6.17026228557245,23.7302316892906,38.3351152355209,67.5095055862851,8.76588344303532,701.270675442826,0.00104895577186731,0.050533524987025,0.001,132.587469262407,450.346285636546,0.0654325550077785,2.65329770514442,0.893524677789177
7120977740,454247,0.783239323126511,0,0.216760676873489,0,0.647353313956463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3072550861949,0,0,2.62209424332811,1e-04,0,0,0,0,3.30704859111767,19.960425387511,0,0,0,0.046614808270408,0,0,2.29371414315746,0,0,0,0,0.04482029088044,0,44.2294258644165,550.599099777378,550.599099777378,126.768420740561,137.5,1143,1026,1023,691,676,149,152,92,92,12,11,0,0,-67.4177771473987,48.4075381412749,10,1026,247.046319849157,4.82202475587656,7.4367031129249,15.6994401819854,,,,691,675.161671883061,,18.2331122565547,29.0185682915184,1.83758879080524,0.748685450265523,,,,1.48496673861228,-160.702549412451,0.495314842954531,,0.55309117646641,1.10655795666909,1.24239035606165,-210.210343654967,0.339835984631434,,0.512724049333045,1.02579628912148,1097.9842205332,4.44821124991009,,,28.4305113823875,799.246230206657,3.51002682088498,13.9218285978031,,33.7539277082319,8.83145604148671,706.516483318937,0.00104895577186731,0.157346101234714,0.001,132.587469262407,450.338823542708,0.0654325550077785,2.65329770514442,0.893524677789177
