Location,Lat,Lon,Slope
1,48.19009503,-68.24736701,11.380733301269
2,48.35961343,-68.06580524,8.87833271401778
3,48.20358874,-68.06704288,9.50163405169453
4,48.60390864,-67.86976153,8.28933487972197
5,48.66381934,-67.7133291,8.10381547610623
6,48.74058108,-67.5436852,7.69364249793363
7,48.63767675,-66.86327191,7.84015352145131
8,48.32099986,-67.28170707,9.14905463356872
9,48.41806467,-67.29375876,8.76588344303532
10,48.40753814,-67.41777715,8.83145604148671
11,48.52471849,-67.50791294,8.34984913895471
12,48.40328595,-67.5101461,8.8319302837399
13,48.52322085,-67.70913403,8.51779190621681
14,48.38501073,-67.64971853,9.04820194461612
15,47.29308763,-67.73322814,10.7750528436055
16,46.42857844,-67.42681563,8.5648067087293
17,46.54330141,-67.45897225,8.92011481374763
18,46.62034622,-67.54291411,9.12878132689026
19,46.0307212,-67.28116356,7.80885848456264
20,46.09811657,-67.67329884,7.87223823764853
21,46.18670478,-67.66709819,8.06770278686225
22,46.22422806,-67.51067473,8.16781027662127
23,45.99277259,-67.76730258,7.54627836060691
24,46.30545757,-67.8033072,8.33768724331874
25,46.17980233,-67.81954347,8.00280242718521
26,46.31481272,-67.47769017,8.36641318220067
27,46.31164114,-67.53856719,8.3532417556031
28,46.37386323,-67.56036591,8.48859682097107
29,46.30807359,-67.65702892,8.35677575877632
30,46.32715356,-67.41438614,8.32695593806933
31,46.42857844,-67.42681563,8.5648067087293
32,46.41263979,-67.69807424,8.60095819564203
33,46.45778736,-67.58624656,8.69166641259298
34,46.21188411,-67.94712216,8.02868193552607
35,46.1084654,-67.85641565,7.8622488180819
36,45.9931641,-67.89480506,7.48848461597748
37,46.12843882,-67.92967014,7.8431668947489
38,46.50144179,-67.58633839,8.87661611493861
39,46.54330141,-67.45897225,8.92011481374763
40,46.53988504,-67.68667937,8.98044597304266
41,46.62034622,-67.54291411,9.12878132689026
42,46.43711328,-67.84823752,8.65737794198327
43,46.51302947,-67.88388343,8.92861280030467
44,46.60775549,-67.78200865,9.27174713437923
45,46.68860551,-67.68324775,9.53602966442597
46,46.60950574,-67.93091559,9.25988504437189
47,46.766024,-67.84823744,9.89543979285744
48,46.75830892,-67.98012486,9.80622580647245
49,46.6647984,-68.03632329,9.48129019339414
50,46.62034622,-67.54291411,9.12878132689026
51,46.68860551,-67.68324775,9.53602966442597
52,46.88789835,-67.68293512,9.95727899900334
53,46.96932028,-67.60340994,9.96789271052633
54,46.68860551,-67.68324775,9.53602966442597
55,46.88789835,-67.68293512,9.95727899900334
56,46.766024,-67.84823744,9.89543979285744
57,46.21188411,-67.94712216,8.02868193552607
58,46.51302947,-67.88388343,8.92861280030467
59,46.60775549,-67.78200865,9.27174713437923
60,46.68860551,-67.68324775,9.53602966442597
61,46.60950574,-67.93091559,9.25988504437189
62,46.88789835,-67.68293512,9.95727899900334
63,46.766024,-67.84823744,9.89543979285744
64,46.92056367,-67.81760861,10.1587380911147
65,47.0100727,-67.73533719,10.2938668427766
66,46.9014462,-68.01714427,10.1220969789752
67,46.91391537,-67.9296495,10.1240978801221
68,47.08338938,-67.82516375,10.5084664243593
69,46.88384368,-68.11285456,10.1743950946606
70,46.75830892,-67.98012486,9.80622580647245
71,47.12828948,-67.9028586,10.5898803196663
72,46.6647984,-68.03632329,9.48129019339414
73,46.76128482,-68.09326114,9.86383431641091
74,46.67296496,-68.1686846,9.57243704542658
75,46.85305758,-68.22735817,10.1819043773111
76,46.76211753,-68.24888569,10.0009835979058
77,46.63014477,-68.41121068,9.08904148481453
78,46.62820848,-68.47308444,9.02372160886439
79,47.16774014,-68.2836423,10.9697487339163
80,47.21520752,-68.21926413,11.0745624296408
81,47.85539439,-69.33873721,10.0114422309965
82,47.74965737,-69.3989237,10.3636849140322
83,47.91488537,-69.1406871,9.66258570332169
84,47.81005298,-69.15916821,10.0305243900922
85,47.85961074,-69.02627304,9.8364047831501
86,48.05654955,-68.87855817,9.26820214815687
87,48.12617954,-68.36615387,9.48461249721324
88,46.88789835,-67.68293512,9.95727899900334
89,46.92056367,-67.81760861,10.1587380911147
90,46.96932028,-67.60340994,9.96789271052633
91,47.0100727,-67.73533719,10.2938668427766
92,47.12036454,-67.72259077,10.5010066312937
93,47.08338938,-67.82516375,10.5084664243593
94,47.12828948,-67.9028586,10.5898803196663
95,47.34033382,-68.21167943,11.1344067595331
96,47.29308763,-67.73322814,10.7750528436055
97,47.33959924,-68.29633824,11.1687446600979
98,47.48097986,-68.32147963,11.0779583055053
99,47.32153608,-68.41870754,11.0410997789306
100,47.39576867,-68.35196721,11.1043025150598
101,47.50533401,-68.49721138,10.8177479185194
102,47.57930695,-68.39150165,10.8794176264662
103,47.30234222,-68.59625866,11.0236672127756
104,47.55961153,-68.66758133,10.8377137676044
105,47.22089647,-68.54107308,10.9401284708851
106,47.45803612,-68.71460333,10.9826958115423
107,47.61338519,-68.75772249,10.7453406619658
108,47.68295256,-68.83709864,10.5116625015739
109,47.56612419,-68.94300817,10.6435570159795
110,47.66928843,-68.95583694,10.4247419169538
111,47.8798404,-68.72181139,9.98853052915512
112,47.83161505,-68.65626824,10.2040704481828
113,47.1872436,-68.39955755,10.9247697200743
114,47.16774014,-68.2836423,10.9697487339163
115,47.43260294,-69.10759286,10.7194002119626
116,47.46285614,-69.06816556,10.6865857742059
117,47.21520752,-68.21926413,11.0745624296408
118,47.49454791,-69.19411457,10.7120259994802
119,47.76013304,-68.47954457,10.4955702793377
