location,numRuns,meanVal_raw_C,meanVal_ratio_A,meanVal_ratio_B,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar
,,,,,,,,,,,,,,
CH_Hailar - Inner Mongolia,1,703.282685969427,0.743515407073308,0.654200557292279,0.0375137255940585,0.550065019505852,0.044646727351539,563.203897650613,0.08,120,0.85,1.63854226104119,36.7001650118642,1
CH_Hailar - Inner Mongolia,2,488.897953347474,0.725580167024992,0.638880898404228,0.0310739608710389,0.556440182054617,0.0497583441699179,568.835936627119,0.092,117,0.84575,1.63854226104119,32.9299997493043,0.98
CH_Hailar - Inner Mongolia,3,331.90002263041,0.707760894905795,0.623617526443523,0.0256967573273175,0.562831282509753,0.0548827400303426,574.52429599339,0.1043,114.075,0.84152125,1.63854226104119,29.8553290184729,0.9604
CH_Hailar - Inner Mongolia,4,214.688908036205,0.690052087735121,0.608407097475286,0.0212067923683101,0.569238360716027,0.0600199468804185,580.269538953324,0.1169075,111.223125,0.83731364375,1.63854226104119,27.299961866107,0.941192
CH_Hailar - Inner Mongolia,5,125.621495445182,0.672448355492266,0.593246310466458,0.0174576716275389,0.575661456617817,0.0651699967476195,586.072234342858,0.1298301875,108.442546875,0.83312707553125,1.63854226104119,25.142586202462,0.92236816
CH_Hailar - Inner Mongolia,6,56.7846550062035,0.654944416481575,0.578131905122825,0.014327155808995,0.582100610259362,0.0703329217394886,591.932956686286,0.1430759421875,105.731483203125,0.828961440153594,1.63854226104119,23.296945733469,0.9039207968
CH_Yuyang District - Shaanxi,1,411.503718593742,0.68030232422238,0.595046676058284,0.0506627246802701,0.162655971479501,0.014705882352941,535.332260852712,0.08,120,0.85,-12.255876060951,-833.399572144678,1
CH_Yuyang District - Shaanxi,2,207.494597643894,0.664421643465205,0.58143273330629,0.0420533751080255,0.1680626114082,0.0197426470588234,540.685583461239,0.092,117,0.84575,-12.255876060951,-620.7818042046,0.98
CH_Yuyang District - Shaanxi,3,91.3563913814142,0.648591081120606,0.56783506426336,0.0348645682152013,0.17348276793672,0.0247920036764704,546.092439295852,0.1043,114.075,0.84152125,-12.255876060951,-494.347944639215,0.9604
