HYBAS_ID,FID,non_cropla,irr_cropla,no_irr_cro,ACOF,BEAN,CNUT,COWP,MAIZ,OILP,ORTS,PMIL,RCOF,SESA,SOYB,SUNF,TEMF,VEGE,BANA,CASS,COCO,GROU,OCER,OOIL,PIGE,POTA,REST,SMIL,SUGB,SWPO,TOBA,WHEA,BARL,CHIC,COTT,LENT,OFIB,OPUL,PLNT,RAPESEED,RICE,SORG,SUGC,TEAS,TROF,YAMS,totMapspam,waterUse_nonIrr,waterUse_irr,growDaysAvg,SUB_AREA,UP_AREA,pre_mm_syr,pre_mm_uyr,pet_mm_syr,pet_mm_uyr,ari_ix_sav,ari_ix_uav,swc_pc_syr,swc_pc_uyr,crp_pc_sse,crp_pc_use,ire_pc_sse,ire_pc_use,X,Y
4120153970,218792,0.449934980494148,0.044646727351539,0.505418292154313,0,0.034611147850082,0,0,0.819737696809263,0,0,0,0,0,0.21495343962803,0,0,0,0,0,0,0,15.664276733138,0,0,23.5392233181176,1e-04,0,0,0,0,41.8102660382931,0,0,0,0,0,0,0,12.5146624492482,0,0,0,0,0,0,94.5978308230842,563.203897650613,563.203897650613,124.694314885769,126.7,291.6,367,369,742,740,50,50,48,48,11,11,6,5,119.957258554221,49.1717735435971
4120504720,228943,0.837344028520499,0.014705882352941,0.14795008912656,0,0.107929188707236,0,0,3.78002462224822,0,0,0.608274766740553,0,0,0.96678218008472,0,0.065371063904367,0.34053359719014,0,0,0,0,0,0,0,1.2281450285695,0.044181447434153,0,0,0.069919932702641,0,36.798982462166,0,0,0,0.009118843695886,0,0.279690272205472,0,0,0.003041373879023,0.223438061273828,0,0,0,0,44.5254328408017,535.332260852712,535.332260852712,133.284939585298,146.2,2223.9,402,375,1058,1029,38,36,36,35,15,7,24,4,109.560231435893,38.4923519313172
7120367230,440002,0.288881643299641,0.589175089664167,0.121943267036192,0,0,0,0,30.2009454691725,0,0,0,0,0,0,0,10.2520614708345,0,0,0,0,0,0.052099181501507,0,0,6.79593145119736,1e-04,0,0,0,0,208.391705372961,2.92507198020394,0,0,0,0,0,0,0.8284955241925,0,0,0,0,0,0,259.446410450063,543.042677875323,543.042677875323,137.087731139424,178.9,178.9,196,196,1084,1084,18,18,19,19,87,87,8,8,-119.161256878178,46.7457650916602
7120284040,447783,0.270893371757925,0.729106628242075,0,0,0.156572910833955,0,0,0.042346364537363,0,0,0,0,0,0,0,0,0.051560639328378,0,0,0,0,0,0.324118064847515,0,0.169404476398286,1e-04,0,0.090223197776529,0,0,42.0136630777747,12.5113927074868,0,0,0,0.077340958031351,5.1875798630422,0,8.21639579613207,0,0,0,0,0,0,68.8406980561891,532.723719596065,532.723719596065,127.680451730687,118.2,350.7,357,359,870,869,41,41,38,38,58,59,66,42,-112.073381931312,49.794598445188
7120275280,447842,0.556281407035176,0.443718592964824,0,0,0.052151588942933,0,0,0.044742879759315,0,0,0,0,0,0,0,0,0.039144711968999,0,0,0,0,0,0.395126966355405,0,0.158451444607664,1e-04,0,0.078289423937999,0,0,29.4598806328762,9.29637552236393,0,0,0,0.057779141726967,6.98918741211189,0,5.64325805280223,0,0,0,0,0,0,52.2144877774535,521.947959038527,521.947959038527,126.22709851684,109.5,20804.5,337,513,864,707,39,77,37,64,49,25,34,2,-112.085868118643,50.3015858982123
7120466690,441452,0.541518807665011,0.415188076650106,0.043293115684883,0,0,0,0,25.8828864810256,0,0,0,0,0,0,0,0.058501785426442,0,0,0,0,0,0.28930936100679,0,0,4.39630068818519,1e-04,0,0,0,0,10.395561865664,1.87853527187876,0,0,0,0,0,0,0.378690389376074,0,0,0,0,0,0,43.2798858425628,594.813439716079,594.813439716079,130.648651409919,93.5,8808.7,195,316,1234,1090,16,30,16,29,12,2,30,2,-115.924603571915,42.9215731841174
7120476940,442005,0.137755102040816,0.821428571428571,0.040816326530612,0,0,0,0,0,0,0,0,0,0,0,0,0.038766136624536,0,0,0,0,0,0.142036879013593,0,0,4.03669814610093,1e-04,0,0,0,0,11.2741477753226,3.77848989135539,0,0,0,0,0,0,0.195297216150225,0,0,0,0,0,0,19.4655360445673,546.942256695337,546.942256695337,132.570058644732,36.1,51899.1,257,423,1104,943,23,48,22,44,69,19,72,13,-113.845001672163,42.5330881072756
7120961060,444101,0.344592166726554,0,0.655407833273446,0,6.94812427575135,0,0,15.7529590139503,0,0,0,0,0,16.9489498084019,5.20415857493679,0.053690816667053,0.336946973728935,0,0,0,0,26.9112167529245,7.43495467324149,0,3.73419016673646,1e-04,0,0,0,0,113.29148189529,19.7501951173113,0,0,0,0.986767076649649,0,0,132.856391326118,0,0,0,0,0,0,350.210126471708,589.76089134714,589.76089134714,118.409118180408,151.9,146356.7,473,420,780,790,61,54,56,50,76,66,1,0,-98.1900783216956,49.9528968936211
7120962040,444026,0.298661954052007,0,0.701338045947993,0,4.30447750929643,0,0,0.64337613493513,0,0,0,0,0,17.4143684636328,4.50642880988539,0,0.31791784198777,0,0,0,0,22.4489639435268,7.63969922381658,0,3.24047943425144,1e-04,0,0,0,0,93.9896677003638,16.482292606754,0,0,0,0.818844434305698,0,0,119.284863917557,0,0,0,0,0,0,291.091480020313,591.949154679638,591.949154679638,117.826458203825,215.6,215.6,461,461,800,800,58,58,53,53,48,48,22,22,-99.3177133240874,49.899450425676
7120419530,475100,0.438694792353329,0.064271588661833,0.497033618984838,0,0,0,0,137.450879722309,0,0,0,0,0,88.543299420548,0,0.935356430908687,4.12429334458585,0,0,0,0,10.569411085445,0,0,1.99669168872528,0.110932665682726,0,0,0,0,2.23512906462296,0.659957814601418,0,0,0,0,0,0,0,0,0,0,0,0,0,246.625951237429,601.132647783066,601.132647783066,134.080671065179,183.9,183.9,804,804,951,951,85,85,77,77,51,51,6,6,-91.7779798115615,44.8756402930947
