HYBAS_ID,FID,non_cropla,irr_cropla,no_irr_cro,ACOF,BEAN,CNUT,COWP,MAIZ,OILP,ORTS,PMIL,RCOF,SESA,SOYB,SUNF,TEMF,VEGE,BANA,CASS,COCO,GROU,OCER,OOIL,PIGE,POTA,REST,SMIL,SUGB,SWPO,TOBA,WHEA,BARL,CHIC,COTT,LENT,OFIB,OPUL,PLNT,RAPESEED,RICE,SORG,SUGC,TEAS,TROF,YAMS,totMapspam,waterUse_nonIrr,waterUse_irr,growDaysAvg,SUB_AREA,UP_AREA,pre_mm_syr,pre_mm_uyr,pet_mm_syr,pet_mm_uyr,ari_ix_sav,ari_ix_uav,swc_pc_syr,swc_pc_uyr,crp_pc_sse,crp_pc_use,ire_pc_sse,ire_pc_use,X,Y
4120975820,292183,0.043699927166788,0.94027676620539,0.016023306627822,0,0,0,0,105.667171610499,0,0,84.7629387148136,0,0,4.05146447505478,0,0,0,0,0,0,0,0,0,0,0,3.13812619864511,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56622285565863,0,0,0,0,0,207.185923854671,553.569490025122,553.569490025122,110.150406356083,103,103,809,809,1829,1829,44,44,41,41,77,77,32,32,73.2959304483663,23.2153743614381
4121581030,286425,0.009866102889359,0.051444679351656,0.938689217758985,0,0,0,0,0,0,0,27.6977649697803,0,0,0,0,1.75590142014112,7.01270185240107,0,0,0,0,0,0,0,0,0.67107261292944,1.85349248024995,0,0,0,0,0,0,0,0,0,0,0,0,5.6038550782303,0,0,0,0,0,44.5947884137321,497.137366357431,497.137366357431,96.5354922346203,112.1,335.9,663,669,1734,1732,38,39,35,35,89,86,7,5,76.0139867349646,15.6079474064728
4121043790,285003,0.12794853466762,0.652251608291637,0.219799857040743,0,0,0,0,35.9092209087665,0,0,6.2424605608074,0,0,82.9818342529149,0,4.85704288193184,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0.086119445749839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.07677805017,584.451665666547,584.451665666547,138.658670584087,222.1,222.1,712,712,1775,1775,40,40,37,37,100,100,28,28,76.0617466936686,19.9964205783517
4121585060,286794,0.17961383026493,0.681185451279748,0.139200718455321,0,0,0,0,0,0,0,0.006147867399687,0,0,0,0,1.40171557807138,21.6011552076715,0,0,0,0,0,0,0,0,24.1935362952442,2.17623651079157,0,0,0,0,0,0,0,0,0,0,0,0,3.81595653432079,0,0,0,0,0,53.1947479934991,694.885797456968,694.885797456968,146.019925193586,182.6,182.7,947,947,1632,1632,58,58,52,52,71,71,12,12,75.3103319115232,14.5129491337472
2121215810,136267,0.059213089209194,0.057265290222049,0.883521620568757,0,0.64087911518685,0,0,0.015823083606099,0,0,0,0,0,0.015825094155108,1.82452091322171,56.4269248670951,9.74054064436429,0,0,0,0,0,218.229312970966,0,3.91791340253112,1e-04,0,1.01903304349152,0.047473280630619,0,259.549962352472,41.9555038099386,0.609238979110715,0,0.208884009861211,0.041155719579597,7.05451258369345,0,0.087030972099246,0,4.44184421702139,0,0,4.74672226048041,0,610.573201319505,631.142360903941,631.142360903941,153.569592105056,163.3,480.6,519,532,1015,947,51,57,49,54,63,74,5,2,15.4846878736003,41.2220348395778
7120409080,439491,0.147755610972569,0.82356608478803,0.028678304239401,0,0.633863216793855,0,0,0,0,0,0,0,0,0,0,81.0671646502457,1.29303978553968,0,0,0,0,4.52975379850739,0,0,4.15212929086918,1.86970079390551,0,0,0,0,64.3620812954603,0,0,0,0,0,0,0,0.207352834439525,0,0,0,0,0,0,158.115085665761,579.932384452584,579.932384452584,174.199359265643,91.2,805.4,1051,1471,1005,962,105,157,71,77,86,57,29,19,-122.836705236696,45.1064437960907
6120584060,420824,0.861990950226244,0.026018099547511,0.111990950226244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098139658500059,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098239658500059,775.079238620318,775.079238620318,164.662934337545,143.6,2617.6,12,368,1617,1356,1,32,0,27,4,14,26,4,-75.6597979575574,-14.0663221099238
6120339230,421662,0.407692307692308,0.1,0.492307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,852.84375,852.84375,184.3666667,8.9,992.7,212,169,1852,1820,11,9,10,8,10,9,33,3,-80.0846298542901,-5.20093715608412
2120025430,148857,0.736625514403292,0.106995884773663,0.156378600823045,0,0,0,0,0.504273253597314,0,0,0,0,0,0,0,0.397135198407864,0,0,0,0,0,0,0.077748796077395,0,0,1e-04,0,0,0,0,66.9800016158599,38.5989818022399,0,0,0,0,0,0,17.160645812769,0,0,0,0,0,0,123.718886478951,551.007996966594,551.007996966594,129.69879170069,22.2,283.4,764,791,576,574,133,138,89,90,55,69,0,6,9.46454907594928,55.4999322042503
2120056260,161882,0.338607594936709,0.322257383966245,0.339135021097046,0,0,0,0,0.752171743016499,0,0,0,0,0,0,0,0.84980504261681,0,0,0,0,0,0,0.202485120458667,0,1.04636114379257,1e-04,0,0,0,0,162.894439144216,97.7488942153937,0,0,0,0,0,0,35.6074317418013,0,0,0,0,0,0,299.101688151296,549.004314957603,549.004314957603,130.430802536381,90.7,794,585,599,507,513,115,117,88,88,64,67,2,3,11.7279542947112,55.2693339947761
7121043760,441954,0.420840064620355,0.5359450726979,0.043214862681745,0,0,0,0,0,0,0,0,0,0,0,0,0.087314534055862,0,0,0,0,0,0.203720865615374,0,0,12.1851973071899,1e-04,0,0,0,0,16.7082901036144,17.113781290647,0,0,0,0,0,0,0.578846710729261,0,0,0,0,0,0,46.8772508118517,555.397779741742,555.397779741742,131.985961442227,153.6,334.8,263,267,1110,1102,24,24,23,24,39,38,44,42,-114.056794148846,42.6121603688705
2121188850,135447,0.038113695090439,0.673772609819121,0.288113695090439,0,0.142187504608667,0,0,0.455003366710604,0,0,0,0,0,14.9868265057059,3.6434024977396,19.8279304240976,8.42779546067698,0,0,0,0,0.085317791432191,2.48749682569281,0,3.31886959629544,1e-04,0,9.44312349181324,0.015056501004072,0,136.714074521148,14.7793195789505,0.135498926604909,0,0.048508995646302,0.075275319036828,1.60087132842026,0,1.72801433751038,0.69423766936289,2.89567290116806,0,0,4.11345030235333,0,225.618033845978,568.165204995001,568.165204995001,147.333340071219,189.5,189.6,784,784,991,991,79,79,74,73,55,55,46,46,11.0913921037303,44.6303931288348
