location,numRuns,meanVal,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar
,,,,,,,,,,,,
1,1,-160.136879227383,0.0375137255940585,0.550065019505852,0.044646727351539,563.203897650613,0.08,120,0.85,1.63854226104119,36.7001650118642,1
2,1,-131.193151263995,0.0506627246802701,0.162655971479501,0.014705882352941,535.332260852712,0.08,120,0.85,-12.255876060951,-833.399572144678,1
2,2,-152.472771485238,0.0420533751080255,0.1680626114082,0.0197426470588234,540.685583461239,0.092,117,0.84575,-12.255876060951,-620.7818042046,0.98
2,3,-167.469160803731,0.0348645682152013,0.17348276793672,0.0247920036764704,546.092439295852,0.1043,114.075,0.84152125,-12.255876060951,-494.347944639215,0.9604
2,4,-179.457328012058,0.0288619144596931,0.178916474856562,0.0298539836856616,551.55336368881,0.1169075,111.223125,0.83731364375,-12.255876060951,-410.527324929078,0.941192
2,5,-189.814228658127,0.0238496985738437,0.184363766043703,0.0349286186448757,557.068897325698,0.1298301875,108.442546875,0.83312707553125,-12.255876060951,-350.883502882214,0.92236816
2,6,-199.216498429024,0.0196644983091595,0.189824675458813,0.0400159401914879,562.639586298955,0.1430759421875,105.731483203125,0.828961440153594,-12.255876060951,-306.274849530039,0.9039207968
3,1,-199.436953458711,0.084705661881309,0.711118356700359,0.589175089664167,543.042677875323,0.08,120,0.85,-2.21457271552925,-3.75876841091766,1
4,1,-177.75647277314,0.0472481627744181,0.729106628242075,0.729106628242075,532.723719596065,0.08,120,0.85,3.84633108888682,5.27540271874991,1
5,1,-178.426192741887,0.0497933144123318,0.443718592964824,0.443718592964824,521.947959038527,0.08,120,0.85,3.0231731695527,6.81326682605875,1
6,1,-274.866880179001,0.091622350108883,0.458481192334989,0.415188076650106,594.813439716079,0.08,120,0.85,-1.58997337966945,-3.82952562727224,1
7,1,-215.12545823548,0.0751585539616815,0.862244897959183,0.821428571428571,546.942256695337,0.08,120,0.85,-2.50813495498953,-3.05338168433508,1
8,1,4192.92862085673,0.0306925272925126,0.655407833273446,0.001,589.76089134714,0.08,120,0.85,-0.0718906947428331,-5.75125557942665,1
8,2,418.291434425759,0.025378260289248,0.66204635285663,0.0060025,595.658500260612,0.092,117,0.84575,-0.0718906947428331,-5.75125557942665,0.98
9,1,6282.89628404658,0.0331030010508629,0.701338045947993,0.001,591.949154679638,0.08,120,0.85,1.00081992598071,80.0655940784568,1
9,2,696.257116017121,0.0273910058774706,0.708091391062863,0.0060025,597.868646226434,0.092,117,0.84575,1.00081992598071,80.0655940784568,0.98
10,1,52.7279749743517,0.0112850033603523,0.561305207646671,0.064271588661833,601.132647783066,0.08,120,0.85,3.44853991563425,53.6557441232525,1
11,1,54.7095462354633,0.00930467378019029,0.643363249881908,0.230514879546528,596.238011652799,0.08,120,0.85,12.1610155802522,52.7558811135121,1
12,1,209.710008913459,0,0.447015834348356,0.007917174177832,571.991052777295,0.08,120,0.85,10.0292110475997,802.336883807976,1
12,2,217.766068441082,5e-05,0.443398294762485,0.00539738124238742,566.271142249522,0.0792,123,0.852125,10.0292110475997,802.336883807976,1.02
12,3,231.051405449715,0.00010025,0.439789799025579,0.00288388778928145,560.608430827027,0.078408,126.075,0.8542553125,10.0292110475997,802.336883807976,1.0404
12,4,273.567239929548,0.00015075125,0.436190324528015,0.001,555.002346518756,0.07762392,129.226875,0.85639095078125,10.0292110475997,802.336883807976,1.061208
12,5,295.159865108538,0.00020150500625,0.432599848716695,0.001,549.452323053569,0.0768476808,132.457546875,0.858531928158203,10.0292110475997,802.336883807976,1.08243216
12,6,316.91064566942,0.00025251253128125,0.429018349094903,0.001,543.957799823033,0.076079203992,135.768985546875,0.860678257978598,10.0292110475997,802.336883807976,1.1040808032
12,7,338.822471425924,0.000303775093937656,0.425445803222166,0.001,538.518221824803,0.07531841195208,139.163210185547,0.862829953623545,10.0292110475997,802.336883807976,1.126162419264
12,8,360.898274659073,0.000355293969407344,0.421882188714111,0.001,533.133039606555,0.0745652278325592,142.642290440185,0.864987028507604,10.0292110475997,802.336883807976,1.14868566764928
12,9,383.141031440622,0.000407070439254381,0.418327483242325,0.001,527.801709210489,0.0738195755542336,146.20834770119,0.867149496078872,10.0292110475997,802.336883807976,1.17165938100227
12,10,405.553762999706,0.000459105791450653,0.41478166453422,0.001,522.523692118384,0.0730813797986913,149.86355639372,0.86931736981907,10.0292110475997,802.336883807976,1.19509256862231
12,11,428.139537134482,0.000511401320407906,0.411244710372884,0.001,517.298455197201,0.0723505660007044,153.610145303563,0.871490663243617,10.0292110475997,802.336883807976,1.21899441999476
12,12,450.901469670626,0.000563958327009946,0.407716598596952,0.001,512.125470645229,0.0716270603406973,157.450398936152,0.873669389901726,10.0292110475997,802.336883807976,1.24337430839465
12,13,473.84272596866,0.000616778118644995,0.40419730710046,0.001,507.004215938776,0.0709107897372903,161.386658909556,0.875853563376481,10.0292110475997,802.336883807976,1.26824179456255
12,14,496.966522482147,0.00066986200923822,0.400686813832708,0.001,501.934173779388,0.0702016818399174,165.421325382295,0.878043197284922,10.0292110475997,802.336883807976,1.2936066304538
12,15,520.276128368936,0.000723211319284411,0.397185096798127,0.001,496.914832041595,0.0694996650215183,169.556858516852,0.880238305278134,10.0292110475997,802.336883807976,1.31947876306287
12,16,543.77486715773,0.000776827375880833,0.393692134056131,0.001,491.945683721179,0.0688046683713031,173.795779979773,0.882438901041329,10.0292110475997,802.336883807976,1.34586833832413
12,17,567.466118472358,0.000830711512760237,0.390207903720991,0.001,487.026226883967,0.0681166216875901,178.140674479267,0.884644998293932,10.0292110475997,802.336883807976,1.37278570509061
12,18,591.353319816292,0.000884865070324039,0.386732383961689,0.001,482.155964615127,0.0674354554707142,182.594191341249,0.886856610789667,10.0292110475997,802.336883807976,1.40024141919242
12,19,615.439968420047,0.000939289395675659,0.383265553001784,0.001,477.334404968976,0.066761100916007,187.15904612478,0.889073752316642,10.0292110475997,802.336883807976,1.42824624757627
