location,numRuns,meanVal_raw_C,meanVal_ratio_A,meanVal_ratio_B,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar
,,,,,,,,,,,,,,
La Victoria - Table Grapes,1,-54.0849195723389,0.721110044869886,0.648256164686349,0.0768727960976254,0.238814016172507,0.177897574123989,576.224520807006,0.08,0,0.85,-12.1177620661766,-68.1165110083564,1
EL Mandarino - Mandarins,1,196.735262031425,0.77464714909994,0.69894845479182,0.0639093511005118,0.404984423676013,0.183108341986847,594.507279805984,0.08,0,0.85,-9.88283169419848,-53.9725912373145,1
EL Mandarino - Mandarins,2,146.68843866392,0.75833753863217,0.684232623141306,0.0531143081689273,0.410996884735203,0.188566112841814,600.452352604044,0.092,0,0.84575,-9.88283169419848,-52.4104333766962,0.98
EL Mandarino - Mandarins,3,104.6332032279,0.741886347083191,0.669389045744806,0.0441004473210543,0.417024376947041,0.194037528123919,606.456876130084,0.1043,0,0.84152125,-9.88283169419848,-50.9325788147898,0.9604
EL Mandarino - Mandarins,4,68.9386918936976,0.725295665853208,0.654419609630424,0.0365738735130804,0.423066937889409,0.199522621944228,612.521444891385,0.1169075,0,0.83731364375,-9.88283169419848,-49.5323868436381,0.941192
EL Mandarino - Mandarins,5,38.3035059587691,0.70856742170292,0.639326053275367,0.0302891843834221,0.429124605234132,0.205021428499089,618.646659340299,0.1298301875,0,0.83312707553125,-9.88283169419848,-48.2038963758483,0.92236816
EL Mandarino - Mandarins,6,11.6875473511973,0.691703380825434,0.624109970279953,0.0250414689601574,0.435197416747218,0.210533982070337,624.833125933702,0.1430759421875,0,0.828961440153594,-9.88283169419848,-46.9417411717257,0.9039207968
EL Mandarino - Mandarins,7,-11.7416982059953,0.674705152778106,0.608772812915232,0.0206596265817315,0.441285410289085,0.216060317025513,631.081457193039,0.156652840742187,0,0.824816632952826,-9.88283169419848,-45.7410774465887,0.885842380864
EL Mandarino - Mandarins,8,-32.6515801396983,0.657574194278256,0.593315895547776,0.0170007881957458,0.447388623814808,0.221600467818076,637.39227176497,0.170569161760742,0,0.820692549788062,-9.88283169419848,-44.5975217990597,0.86812553324672
EL Mandarino - Lemons,1,196.735262031425,0.77464714909994,0.69894845479182,0.0639093511005118,0.404984423676013,0.183108341986847,594.507279805984,0.08,0,0.85,-9.58342862725045,-52.3374769454187,1
EL Mandarino - Lemons,2,146.68843866392,0.75833753863217,0.684232623141306,0.0531143081689273,0.410996884735203,0.188566112841814,600.452352604044,0.092,0,0.84575,-9.58342862725045,-50.8226450809318,0.98
EL Mandarino - Lemons,3,104.6332032279,0.741886347083191,0.669389045744806,0.0441004473210543,0.417024376947041,0.194037528123919,606.456876130084,0.1043,0,0.84152125,-9.58342862725045,-49.3895625238545,0.9604
EL Mandarino - Lemons,4,68.9386918936976,0.725295665853208,0.654419609630424,0.0365738735130804,0.423066937889409,0.199522621944228,612.521444891385,0.1169075,0,0.83731364375,-9.58342862725045,-48.0317897482786,0.941192
EL Mandarino - Lemons,5,38.3035059587691,0.70856742170292,0.639326053275367,0.0302891843834221,0.429124605234132,0.205021428499089,618.646659340299,0.1298301875,0,0.83312707553125,-9.58342862725045,-46.7435462595708,0.92236816
EL Mandarino - Lemons,6,11.6875473511973,0.691703380825434,0.624109970279953,0.0250414689601574,0.435197416747218,0.210533982070337,624.833125933702,0.1430759421875,0,0.828961440153594,-9.58342862725045,-45.5196283897236,0.9039207968
EL Mandarino - Lemons,7,-11.7416982059953,0.674705152778106,0.608772812915232,0.0206596265817315,0.441285410289085,0.216060317025513,631.081457193039,0.156652840742187,0,0.824816632952826,-9.58342862725045,-44.3553390978262,0.885842380864
EL Mandarino - Lemons,8,-32.6515801396983,0.657574194278256,0.593315895547776,0.0170007881957458,0.447388623814808,0.221600467818076,637.39227176497,0.170569161760742,0,0.820692549788062,-9.58342862725045,-43.2464277788348,0.86812553324672
Rancho El Paraiso - Walnuts,1,319.56399481051,1.14251499326664,1.04207941707994,0.0229592236530264,0.365384615384616,0.345512820512821,852.84375,0.08,0,0.85,-1.98037544539072,-5.73169887719762,1
Rancho El Paraiso - Cherries,1,319.56399481051,1.14251499326664,1.04207941707994,0.0229592236530264,0.365384615384616,0.345512820512821,852.84375,0.08,0,0.85,-1.98037544539072,-5.73169887719762,1
La Rinconada - Avocados,1,249.935624552046,0.934396403744846,0.845866127336992,0.052452096515375,0.571788413098237,0.445843828715365,559.629102601697,0.08,0,0.85,-4.91445357401192,-11.02281394849,1
La Rinconada - Mandarins,1,249.935624552046,0.934396403744846,0.845866127336992,0.052452096515375,0.571788413098237,0.445843828715365,559.629102601697,0.08,0,0.85,-4.91445357401192,-11.02281394849,1
La Rinconada - Navels,1,249.935624552046,0.934396403744846,0.845866127336992,0.052452096515375,0.571788413098237,0.445843828715365,559.629102601697,0.08,0,0.85,-4.91445357401192,-11.02281394849,1
La Rinconada - Cherries,1,249.935624552046,0.934396403744846,0.845866127336992,0.052452096515375,0.571788413098237,0.445843828715365,559.629102601697,0.08,0,0.85,-4.91445357401193,-11.02281394849,1
Alhue - Table Grapes,1,330.014152971273,0.741501933533845,0.670343380414947,0.0588021080974246,0.373480662983425,0.209576427255985,608.954656142696,0.08,0,0.85,-6.62991177712087,-31.6348163003219,1
