location,numRuns,meanVal,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar,,,,,,,,
4,12,-85.85837945,0.052130799,0.682146141,0.682146141,476.9679251,0.07162706,126.7674999,0.87366939,3.846331089,5.638573407,1.710339358,,,,,,,,
4,13,-82.73007936,0.052441453,0.677940775,0.677940775,472.1982459,0.07091079,127.4013374,0.875853563,3.846331089,5.673550299,1.795856326,,,,,,,,
4,14,-79.69685342,0.05275366,0.673745923,0.673745923,467.4762634,0.070201682,128.0383441,0.878043197,3.846331089,5.708874748,1.885649142,,,,,,,,
4,15,-76.76204839,0.053067428,0.669561559,0.669561559,462.8015008,0.069499665,128.6785358,0.880238305,3.846331089,5.744551848,1.979931599,,,,,,,,
4,16,-73.92920962,0.053382765,0.665387655,0.665387655,458.1734858,0.068804668,129.3219285,0.882438901,3.846331089,5.780586793,2.078928179,,,,,,,,
4,17,-71.20209098,0.053699679,0.661224186,0.661224186,453.5917509,0.068116622,129.9685382,0.884644998,3.846331089,5.816984878,2.182874588,,,,,,,,
4,18,-68.58466525,0.054018178,0.657071125,0.657071125,449.0558334,0.067435455,130.6183808,0.886856611,3.846331089,5.853751507,2.292018318,,,,,,,,
4,19,-66.08113508,0.054338268,0.652928447,0.652928447,444.5652751,0.066761101,131.2714727,0.889073752,3.846331089,5.890892187,2.406619234,,,,,,,,
4,20,-63.6959445,0.05465996,0.648796126,0.648796126,440.1196223,0.06609349,131.9278301,0.891296437,3.846331089,5.928412538,2.526950195,,,,,,,,
5,1,-60.17656664,0.050482002,0.443718593,0.443718593,521.947959,0.08,120,0.85,3.02317317,6.813266826,1,,,,,,,,
5,2,-54.74060334,0.050784413,0.440109296,0.440109296,516.7284794,0.0792,120.6,0.852125,3.02317317,6.86914181,1.05,,,,,,,,
5,3,-49.33774306,0.051088335,0.436509023,0.436509023,511.5611947,0.078408,121.203,0.854255313,3.02317317,6.925797655,1.1025,,,,,,,,
5,4,-43.96868272,0.051393776,0.432917751,0.432917751,506.4455827,0.07762392,121.809015,0.856390951,3.02317317,6.983250663,1.157625,,,,,,,,
5,5,-38.63420044,0.051700745,0.429335456,0.429335456,501.3811269,0.076847681,122.4180601,0.858531928,3.02317317,7.041517595,1.21550625,,,,,,,,
5,6,-33.33515992,0.052009249,0.425762118,0.425762118,496.3673156,0.076079204,123.0301504,0.860678258,3.02317317,7.100615682,1.276281563,,,,,,,,
5,7,-28.07251489,0.052319295,0.422197712,0.422197712,491.4036425,0.075318412,123.6453011,0.862829954,3.02317317,7.160562649,1.340095641,,,,,,,,
5,8,-22.84731393,0.052630892,0.418642218,0.418642218,486.489606,0.074565228,124.2635276,0.864987029,3.02317317,7.221376724,1.407100423,,,,,,,,
5,9,-17.66070549,0.052944046,0.415095613,0.415095613,481.62471,0.073819576,124.8848453,0.867149496,3.02317317,7.283076665,1.477455444,,,,,,,,
5,10,-12.51394314,0.053258766,0.411557874,0.411557874,476.8084629,0.07308138,125.5092695,0.86931737,3.02317317,7.345681772,1.551328216,,,,,,,,
5,11,-7.408391149,0.05357506,0.408028979,0.408028979,472.0403782,0.072350566,126.1368158,0.871490663,3.02317317,7.40921191,1.628894627,,,,,,,,
5,12,-2.345530319,0.053892935,0.404508906,0.404508906,467.3199745,0.07162706,126.7674999,0.87366939,3.02317317,7.47368753,1.710339358,,,,,,,,
6,1,157.7480876,0.086333816,0.458481192,0.415188077,594.8134397,0.08,120,0.85,-1.58997338,-3.829525627,1,,,,,,,,
6,2,67.81422008,0.071838737,0.464627395,0.421226047,600.7615741,0.092,117,0.84575,-1.58997338,-3.774632152,0.95,,,,,,,,
